ref_cell_id_fine,X,Y,Z,Col11a2,Emilin3a,Fgf10a,Hand2,Myod1,Prdm1a,Robo3,Sox9a,Tbx5a
81,0.28941974764040646,0.10105396007226046,0.1757577010589651,0.5342534399035966,0.5352101590615537,0.15580117198517152,0.17842265698310528,0.3843166522714319,0.10361533608305634,0.15136366807339155,0.4356845546239492,0.4787483855306809
82,0.22090928814003727,0.135460490669068,0.26813664171080054,0.7868002106432368,0.24451676492835,0.30802049985739477,0.5623169736580997,0.05719943871549342,0.10878444579093391,0.16010227617220546,0.3244378228695823,0.8119715193223213
83,0.17321662441683103,0.15810810383365048,0.2616622226374336,0.4076096884646264,0.039510577941260734,0.5922480047741794,0.39597724325117484,0.0855011220412121,0.1639952477982774,0.361383608239513,0.12142332700691882,0.5919876205682617
84,0.3920769042255133,0.17127531347380406,0.2171673687177924,0.45215267945738485,0.04426541934077444,0.2229110988422085,0.2487067939276802,0.08479480602224758,0.10650373296454643,0.12762280448883004,0.2248998076712269,0.5504781502047097
85,0.4324168059243148,0.08917190192233627,0.1607631103957257,0.491058401642328,0.03967339676743732,0.1422024409746432,0.08862917450038112,0.05143983834237214,0.09070861717626509,0.16916348554411684,0.223007120535591,0.5019260202702092
86,0.46322487518303246,0.12825633475315593,0.24756124366689963,0.5417813983509928,0.026174551775813036,0.17803258575431583,0.10768103126729014,0.06995694305013543,0.2242821594726064,0.4429049915595682,0.08570849261247872,0.3712283270360604
87,0.18452282216295915,0.13384916943928973,0.20069415354593723,0.6722644693268756,0.37352785949633976,0.1664084653618675,0.6181930344032056,0.0621998144808619,0.08838875399283339,0.1410853398852206,0.41469525725451895,0.823325858100216
88,0.15541651131362763,0.14964934799554358,0.3355145563603916,0.6006975093396826,0.017120176055535816,0.19944424798288224,0.17517532684061932,0.10611093202873838,0.6351163134038049,0.5331635627815619,0.0798116987021211,0.12184272954690566
89,0.3779039564784864,0.04750249893486328,0.18502164021406042,0.665422390688894,0.03245565185636987,0.1553102208507441,0.08576716028988488,0.2351347973391865,0.08686997079785891,0.0895474361406988,0.17696404416275954,0.37403222457657714
90,0.23276788315032074,0.09734842300696377,0.30150875100679836,0.550368813776391,0.06910178233736067,0.4947795530783361,0.39689020391729923,0.06354570476702404,0.13313802653815013,0.2672609368419879,0.29103209377516237,0.6322981788223889
91,0.4124984471397685,0.07924318539765325,0.06072647100668866,0.5401424014867612,0.02364931678659135,0.12239189593005036,0.0604976591690168,0.08417701346087503,0.07257152392536284,0.12566086486714428,0.13858338879975576,0.1975196685773879
92,0.2379106168622353,0.2088358184507016,0.18518054477717047,,0.03983270106887638,0.1533084261018685,0.17676232276878778,,0.10797708133741672,0.13527840016983153,0.09771276125026317,0.18178583961897116
93,0.1265108615312734,0.0792421142890368,0.10806926925894,0.7385111714912735,0.02724350816398783,0.21074147149841027,0.21387821489556105,0.43282511735085416,0.12296706073860135,0.21508523827725087,0.20748552960723304,0.4329272007923806
94,0.30238913606602646,0.19966181176195152,0.2796365950930937,0.5804615820778795,0.07649219786559604,0.35701251025783776,0.3294105713549755,0.11563212743335013,0.21201134693126836,0.12836547845015225,0.19405873959282605,0.4716886933405254
95,0.27628681799981264,0.1506692767251724,0.32882174970398215,0.5977303483491447,0.031218698195880894,0.5719289817893893,0.32087057176744027,0.09170067295493076,0.17476469927095828,0.3869286348675637,0.2690087189129551,0.6313735419776707
96,0.25709200763168716,0.13801691967917806,0.23302160051091603,0.4814420339629755,0.7668304114632746,0.14811276798007356,0.6985232722637568,0.10669154751646663,0.1145396283398859,0.14281316720760645,0.353850734317869,0.7483729127971259
97,0.3470614353722319,0.0740711764190962,0.1865122904429724,0.5250802531999874,0.0648953984187175,0.15016403857956412,0.08911456141116775,0.4964291607973785,0.07821012338321688,0.20786405377641506,0.2714946891182451,0.4660335421133328
98,0.17254197866849597,0.07542228727321357,0.05608840683271504,0.4543854698941127,0.043256784210051594,0.17738710178382333,,0.31585446334940864,0.0851977449575974,0.1628032237463625,0.21336650103713115,0.29265746401231024
99,0.29387177670168363,0.19317651596165986,0.045592404178273455,0.7543216202119292,0.023198684220064002,0.13798054716877187,0.08707846830049551,0.15089308614375652,0.0791709824865204,0.1354823521318098,0.28822695561250394,0.18515231753470804
100,0.4136031110920963,0.11841804925719342,0.32462424987649563,0.6464390770122534,0.013939497373315093,0.2944166243325949,,0.058452020811409426,0.20893224506528346,0.5595176434714595,0.08279203834788225,0.31516279790017904
101,0.2845549001919463,0.07597097209424807,0.2326869670376372,0.5960697695787822,0.21125704600865475,0.2573901059907116,0.2687801309226351,0.3824178441764162,0.08682997140976689,0.2597001291932816,0.4138237622880634,0.5569220648001775
102,0.33538956426383154,0.22050090195301777,0.10274795731537806,0.4408556170203271,0.02926058848259129,0.13079072436188593,0.12464740535001215,0.5686227069662861,0.11390057040783341,0.13225195650110103,0.07292234215151913,0.1580708781381999
103,0.1543843717382479,0.20119721986948735,0.14101804448532212,0.6187558457003147,0.012216044121717598,0.17691509980767986,0.5431768649284324,0.05261635033078084,0.12036035896681636,0.16614141014332337,0.09031317228996968,0.6759998454453598
104,0.3155547571027902,0.10823331823142344,0.35946282964673415,0.6504452863624398,0.028045327814864435,0.5637300784730381,0.18852624334119425,0.07202802576995726,0.21109896750917073,0.5476318586862372,0.10639242267675984,0.42357887580049297
105,0.42858949045659966,0.1443675508115806,0.15786281354158377,0.6982473103598923,0.03694433240036146,0.12923924095305556,0.21862149120389826,0.028356868956048224,0.08518184739905227,0.13078605784277908,0.24478112520622633,0.48348534705258006
106,0.0899508838396244,0.1667554215284942,0.10073083854406287,0.41104471886873634,0.043335705350802604,0.1406371474935773,0.27368998291732116,0.044933139211790186,0.19513968293396305,0.16408962435545815,0.18981401468488274,0.4159818533043042
107,0.18845251175192895,0.12105425986788748,0.22787292230361186,0.5842397042333863,0.2158284900280592,0.28178131786329963,0.5244197686393608,0.0655385839007962,0.0968943740278469,0.17527547133630858,0.3401418998346404,0.7715422639772064
108,0.4041859461268062,0.22903115419755837,0.05183607699897717,0.4903704759306112,0.03584988120860618,0.15830149290392653,0.25362925136814585,0.11699845741364573,,,0.09929013094497205,0.18478547272897985
109,0.2846991912058086,0.22557861959153747,0.10344969671713033,0.40143441230631477,0.011930204045160547,0.14644846568157324,0.09835894008918816,0.3652124629157743,0.1255148920470639,0.10866782996750532,0.06754463278897628,0.13977151226931814
110,0.3569268965323131,0.020938031191457623,0.1368490245550893,0.5873851401873916,0.03199838712211017,0.15816719702467935,0.07816808930380696,0.3058154690987638,0.07989720267980849,0.08837668319435739,0.1200726086717776,0.15448832642312724
111,0.4201621606622974,0.06813739276836392,0.21710606919079498,0.5670809225182378,0.009837833539773713,0.2482544074144175,0.0851289896397401,0.053004731132622496,0.13271055554931904,0.18136116309901334,0.1333071113559498,0.4268018910742176
